order_id,q_standard,q_small,q_box,demand,creation_time,committed_completion_time,load_time,unload_time,pickup_id,delivery_id
30001,0,1,0,0.5,0:00:03,4:00:03,120,120,5e2e9efa5ade4984bb18af66028bc0c8,f6faef4b36e743328800b961aced4a2c
310002,1,0,0,1,0:00:31,4:00:31,240,240,ffd0ed8719f54294a452ed3e3b6a986c,9f1a09c368584eba9e7f10a53d55caae
310003,0,0,1,0.25,0:00:31,4:00:31,60,60,ffd0ed8719f54294a452ed3e3b6a986c,9f1a09c368584eba9e7f10a53d55caae
360004,0,0,1,0.25,0:00:36,4:00:36,60,60,ffd0ed8719f54294a452ed3e3b6a986c,9f1a09c368584eba9e7f10a53d55caae
450005,0,0,1,0.25,0:00:45,4:00:45,60,60,f6faef4b36e743328800b961aced4a2c,5e2e9efa5ade4984bb18af66028bc0c8
520006,3,1,0,3.5,0:00:52,4:00:52,840,840,2445d4bd004c457d95957d6ecf77f759,206128e3ee9a458d9cfd053cedc0fad6
1280007,0,0,1,0.25,0:01:28,4:01:28,60,60,f6faef4b36e743328800b961aced4a2c,b6dd694ae05541dba369a2a759d2c2b9
1320008,1,0,0,1,0:01:32,4:01:32,4320,4320,f5264a9b32c94706a8bc981ab961952a,c4e793f5dc5a4026b54f5b9925de1196
1320009,0,4,0,2,0:01:32,4:01:32,480,480,f6faef4b36e743328800b961aced4a2c,b6dd694ae05541dba369a2a759d2c2b9
2000010,0,1,0,0.5,0:02:00,4:02:00,120,120,ffd0ed8719f54294a452ed3e3b6a986c,206128e3ee9a458d9cfd053cedc0fad6
2070011,0,0,1,0.25,0:02:07,4:02:07,60,60,f6faef4b36e743328800b961aced4a2c,5e2e9efa5ade4984bb18af66028bc0c8
2420012,3,0,0,3,0:02:42,4:02:42,720,720,f6faef4b36e743328800b961aced4a2c,32ab2049f3fb437881ff3912470d7840
3130013,0,0,6,1.5,0:03:13,4:03:13,360,360,f6faef4b36e743328800b961aced4a2c,32ab2049f3fb437881ff3912470d7840
3250014,0,4,0,2,0:03:25,4:03:25,480,480,2445d4bd004c457d95957d6ecf77f759,f6faef4b36e743328800b961aced4a2c
3340015,14,0,0,14,0:03:34,4:03:34,3360,3360,9f1a09c368584eba9e7f10a53d55caae,2445d4bd004c457d95957d6ecf77f759
3410016,0,0,1,0.25,0:03:41,4:03:41,60,60,b6dd694ae05541dba369a2a759d2c2b9,f6faef4b36e743328800b961aced4a2c
3440017,0,0,1,0.25,0:03:44,4:03:44,60,60,f6faef4b36e743328800b961aced4a2c,5e2e9efa5ade4984bb18af66028bc0c8
4120018,0,1,0,0.5,0:04:12,4:04:12,120,120,2445d4bd004c457d95957d6ecf77f759,b6dd694ae05541dba369a2a759d2c2b9
4140019,1,0,0,1,0:04:14,4:04:14,240,240,2445d4bd004c457d95957d6ecf77f759,9f1a09c368584eba9e7f10a53d55caae
4170020,0,0,3,0.75,0:04:17,4:04:17,180,180,ffd0ed8719f54294a452ed3e3b6a986c,9f1a09c368584eba9e7f10a53d55caae
4190021,0,0,1,0.25,0:04:19,4:04:19,60,60,5e2e9efa5ade4984bb18af66028bc0c8,f6faef4b36e743328800b961aced4a2c
5110022,0,0,1,0.25,0:05:11,4:05:11,60,60,f6faef4b36e743328800b961aced4a2c,5e2e9efa5ade4984bb18af66028bc0c8
5150023,3,5,0,5.5,0:05:15,4:05:15,1320,1320,99f05d5e71104b04838cff91b231a002,f6faef4b36e743328800b961aced4a2c
5200024,0,0,1,0.25,0:05:20,4:05:20,60,60,2445d4bd004c457d95957d6ecf77f759,b6dd694ae05541dba369a2a759d2c2b9
5370025,0,1,0,0.5,0:05:37,4:05:37,120,120,7fb0acc4e2634440ba26a7ebc0040dc2,7b84670cf4164cccba22ebb17a2c290a
5410026,0,0,3,0.75,0:05:41,4:05:41,180,180,5e2e9efa5ade4984bb18af66028bc0c8,f6faef4b36e743328800b961aced4a2c
5480027,0,0,3,0.75,0:05:48,4:05:48,180,180,5e2e9efa5ade4984bb18af66028bc0c8,b6dd694ae05541dba369a2a759d2c2b9
6190028,0,0,1,0.25,0:06:19,4:06:19,60,60,f6faef4b36e743328800b961aced4a2c,5e2e9efa5ade4984bb18af66028bc0c8
7030029,3,0,0,3,0:07:03,4:07:03,720,720,b6dd694ae05541dba369a2a759d2c2b9,5e2e9efa5ade4984bb18af66028bc0c8
7170030,0,0,1,0.25,0:07:17,4:07:17,60,60,f6faef4b36e743328800b961aced4a2c,5e2e9efa5ade4984bb18af66028bc0c8
7170031,2,0,0,2,0:07:17,4:07:17,480,480,d1f8de642d734931be957336196d996d,b6dd694ae05541dba369a2a759d2c2b9
7200032,0,0,1,0.25,0:07:20,4:07:20,60,60,f6faef4b36e743328800b961aced4a2c,5e2e9efa5ade4984bb18af66028bc0c8
7570033,2,0,0,2,0:07:57,4:07:57,480,480,f6faef4b36e743328800b961aced4a2c,b6dd694ae05541dba369a2a759d2c2b9
7570034,0,0,1,0.25,0:07:57,4:07:57,60,60,206128e3ee9a458d9cfd053cedc0fad6,ffd0ed8719f54294a452ed3e3b6a986c
8250035,0,0,5,1.25,0:08:25,4:08:25,300,300,f6faef4b36e743328800b961aced4a2c,5e2e9efa5ade4984bb18af66028bc0c8
8400036,1,0,0,1,0:08:40,4:08:40,240,240,f6faef4b36e743328800b961aced4a2c,5e2e9efa5ade4984bb18af66028bc0c8
8460037,0,0,1,0.25,0:08:46,4:08:46,60,60,2445d4bd004c457d95957d6ecf77f759,9f1a09c368584eba9e7f10a53d55caae
8460038,0,0,1,0.25,0:08:46,4:08:46,60,60,2445d4bd004c457d95957d6ecf77f759,9f1a09c368584eba9e7f10a53d55caae
8510039,0,0,1,0.25,0:08:51,4:08:51,60,60,f6faef4b36e743328800b961aced4a2c,b6dd694ae05541dba369a2a759d2c2b9
9190040,0,0,1,0.25,0:09:19,4:09:19,60,60,99f05d5e71104b04838cff91b231a002,f6faef4b36e743328800b961aced4a2c
9590041,0,0,1,0.25,0:09:59,4:09:59,60,60,b6dd694ae05541dba369a2a759d2c2b9,f6faef4b36e743328800b961aced4a2c
10110042,1,0,0,1,0:10:11,4:10:11,240,240,ffd0ed8719f54294a452ed3e3b6a986c,9f1a09c368584eba9e7f10a53d55caae
10540043,0,0,1,0.25,0:10:54,4:10:54,60,60,f6faef4b36e743328800b961aced4a2c,b6dd694ae05541dba369a2a759d2c2b9
