2021-06-14 10:20:07,164 [main.py         | 48] INFO: Start to run instance_1
2021-06-14 10:20:07,164 [simulate_api.py | 60] INFO: Start time of the simulator: 2021-06-14 00:00:00, time interval:  600.00
2021-06-14 10:20:07,176 [input_utils.py  | 48] INFO: Get 154 factories
2021-06-14 10:20:08,724 [input_utils.py  | 52] INFO: Get 23562 routes
2021-06-14 10:20:08,754 [input_utils.py  | 57] INFO: Get 5 vehicles
2021-06-14 10:20:08,763 [input_utils.py  | 61] INFO: Get 50 orders
2021-06-14 10:20:08,763 [simulate_api.py | 87] INFO: Initial position of V_1 is e2d5093fbe36431f8986ddb0e1c586be
2021-06-14 10:20:08,766 [simulate_api.py | 87] INFO: Initial position of V_2 is 7fe14b93f0f04ee7a994ef5b2c1fdb72
2021-06-14 10:20:08,766 [simulate_api.py | 87] INFO: Initial position of V_3 is fa366fc87a124d32926daa5bb093129f
2021-06-14 10:20:08,766 [simulate_api.py | 87] INFO: Initial position of V_4 is e47399648fa842b2b8f80094343d8091
2021-06-14 10:20:08,766 [simulate_api.py | 87] INFO: Initial position of V_5 is becb4f85393540b287e7329758b8d832
2021-06-14 10:20:08,766 [simulate_environment.py | 96] INFO: **************************************************
2021-06-14 10:20:08,767 [simulate_environment.py | 100] INFO: cur time: 2021-06-14 00:10:00, pre time: 2021-06-14 00:00:00
2021-06-14 10:20:08,767 [simulate_environment.py | 136] INFO: Start to update the input of 2021-06-14 00:10:00
2021-06-14 10:20:08,767 [simulate_environment.py | 163] INFO: Get 1 unallocated order items, 0 ongoing order items, 0 completed order items
2021-06-14 10:20:09,695 [simulate_environment.py | 247] INFO: 2021-06-14 00:10:00, Item 0003480001-1: state = 1 < 2, we can not finish the simulation
2021-06-14 10:20:09,695 [simulate_environment.py | 96] INFO: **************************************************
2021-06-14 10:20:09,695 [simulate_environment.py | 100] INFO: cur time: 2021-06-14 00:20:00, pre time: 2021-06-14 00:10:00
2021-06-14 10:20:09,695 [simulate_environment.py | 136] INFO: Start to update the input of 2021-06-14 00:20:00
2021-06-14 10:20:09,709 [simulate_environment.py | 163] INFO: Get 3 unallocated order items, 0 ongoing order items, 0 completed order items
2021-06-14 10:20:10,661 [simulate_environment.py | 247] INFO: 2021-06-14 00:20:00, Item 0003480001-1: state = 1 < 2, we can not finish the simulation
2021-06-14 10:20:10,661 [simulate_environment.py | 96] INFO: **************************************************
2021-06-14 10:20:10,661 [simulate_environment.py | 100] INFO: cur time: 2021-06-14 00:30:00, pre time: 2021-06-14 00:20:00
2021-06-14 10:20:10,661 [simulate_environment.py | 136] INFO: Start to update the input of 2021-06-14 00:30:00
2021-06-14 10:20:10,662 [simulate_environment.py | 163] INFO: Get 2 unallocated order items, 1 ongoing order items, 0 completed order items
2021-06-14 10:20:11,593 [simulate_environment.py | 247] INFO: 2021-06-14 00:30:00, Item 0003480001-1: state = 1 < 2, we can not finish the simulation
2021-06-14 10:20:11,593 [simulate_environment.py | 96] INFO: **************************************************
2021-06-14 10:20:11,594 [simulate_environment.py | 100] INFO: cur time: 2021-06-14 00:40:00, pre time: 2021-06-14 00:30:00
2021-06-14 10:20:11,594 [simulate_environment.py | 136] INFO: Start to update the input of 2021-06-14 00:40:00
2021-06-14 10:20:11,599 [simulate_environment.py | 163] INFO: Get 6 unallocated order items, 3 ongoing order items, 0 completed order items
2021-06-14 10:20:12,556 [simulate_environment.py | 247] INFO: 2021-06-14 00:40:00, Item 0033520004-1: state = 1 < 2, we can not finish the simulation
2021-06-14 10:20:12,556 [simulate_environment.py | 96] INFO: **************************************************
2021-06-14 10:20:12,556 [simulate_environment.py | 100] INFO: cur time: 2021-06-14 00:50:00, pre time: 2021-06-14 00:40:00
2021-06-14 10:20:12,556 [simulate_environment.py | 136] INFO: Start to update the input of 2021-06-14 00:50:00
2021-06-14 10:20:12,568 [simulate_environment.py | 163] INFO: Get 6 unallocated order items, 3 ongoing order items, 0 completed order items
2021-06-14 10:20:13,518 [simulate_environment.py | 247] INFO: 2021-06-14 00:50:00, Item 0033520004-1: state = 1 < 2, we can not finish the simulation
2021-06-14 10:20:13,518 [simulate_environment.py | 96] INFO: **************************************************
2021-06-14 10:20:13,518 [simulate_environment.py | 100] INFO: cur time: 2021-06-14 01:00:00, pre time: 2021-06-14 00:50:00
2021-06-14 10:20:13,518 [simulate_environment.py | 136] INFO: Start to update the input of 2021-06-14 01:00:00
2021-06-14 10:20:13,520 [simulate_environment.py | 163] INFO: Get 6 unallocated order items, 2 ongoing order items, 1 completed order items
2021-06-14 10:20:14,467 [simulate_environment.py | 247] INFO: 2021-06-14 01:00:00, Item 0033520004-1: state = 1 < 2, we can not finish the simulation
2021-06-14 10:20:14,467 [simulate_environment.py | 96] INFO: **************************************************
2021-06-14 10:20:14,467 [simulate_environment.py | 100] INFO: cur time: 2021-06-14 01:10:00, pre time: 2021-06-14 01:00:00
2021-06-14 10:20:14,467 [simulate_environment.py | 136] INFO: Start to update the input of 2021-06-14 01:10:00
2021-06-14 10:20:14,474 [simulate_environment.py | 163] INFO: Get 3 unallocated order items, 5 ongoing order items, 1 completed order items
2021-06-14 10:20:15,412 [simulate_environment.py | 247] INFO: 2021-06-14 01:10:00, Item 0038220005-1: state = 1 < 2, we can not finish the simulation
2021-06-14 10:20:15,412 [simulate_environment.py | 96] INFO: **************************************************
2021-06-14 10:20:15,412 [simulate_environment.py | 100] INFO: cur time: 2021-06-14 01:20:00, pre time: 2021-06-14 01:10:00
2021-06-14 10:20:15,412 [simulate_environment.py | 136] INFO: Start to update the input of 2021-06-14 01:20:00
2021-06-14 10:20:15,427 [simulate_environment.py | 163] INFO: Get 3 unallocated order items, 5 ongoing order items, 1 completed order items
2021-06-14 10:20:16,370 [simulate_environment.py | 247] INFO: 2021-06-14 01:20:00, Item 0038220005-1: state = 1 < 2, we can not finish the simulation
2021-06-14 10:20:16,370 [simulate_environment.py | 96] INFO: **************************************************
2021-06-14 10:20:16,370 [simulate_environment.py | 100] INFO: cur time: 2021-06-14 01:30:00, pre time: 2021-06-14 01:20:00
2021-06-14 10:20:16,370 [simulate_environment.py | 136] INFO: Start to update the input of 2021-06-14 01:30:00
